Hour,Mall_Load_kWh,EV_Demand_kWh,Total_Demand_kWh
1733,1050.70,37.74,1088.44
1734,1313.37,75.48,1388.85
1735,1576.05,135.87,1711.91
1736,1838.72,188.70,2027.42
1737,1838.72,211.35,2050.07
1738,1838.72,211.35,2050.07
1739,1576.05,188.70,1764.75
1740,1576.05,150.96,1727.01
1741,1576.05,135.87,1711.91
1742,1576.05,150.96,1727.01
1743,1576.05,166.06,1742.11
1744,1838.72,188.70,2027.42
1745,2101.40,211.35,2312.74
1746,2101.40,188.70,2290.10
1747,1838.72,150.96,1989.68
1748,1576.05,113.22,1689.27
1749,1313.37,75.48,1388.85
1750,1050.70,60.39,1111.08
1751,788.02,45.29,833.31
1752,788.02,37.74,825.76
1753,788.02,30.19,818.22
1754,788.02,22.64,810.67
1755,788.02,22.64,810.67
1756,788.02,22.64,810.67
1757,1050.70,37.74,1088.44
1758,1313.37,75.48,1388.85
1759,1576.05,135.87,1711.91
1760,1838.72,188.70,2027.42
1761,1838.72,211.35,2050.07
1762,1838.72,211.35,2050.07
1763,1576.05,188.70,1764.75
1764,1576.05,150.96,1727.01
1765,1576.05,135.87,1711.91
1766,1576.05,150.96,1727.01
1767,1576.05,166.06,1742.11
1768,1838.72,188.70,2027.42
1769,2101.40,211.35,2312.74
1770,2101.40,188.70,2290.10
1771,1838.72,150.96,1989.68
1772,1576.05,113.22,1689.27
1773,1313.37,75.48,1388.85
1774,1050.70,60.39,1111.08
1775,788.02,45.29,833.31
1776,788.02,37.74,825.76
1777,788.02,30.19,818.22
1778,788.02,22.64,810.67
1779,788.02,22.64,810.67
1780,788.02,22.64,810.67
1781,1050.70,37.74,1088.44
1782,1313.37,75.48,1388.85
1783,1576.05,135.87,1711.91
1784,1838.72,188.70,2027.42
1785,1838.72,211.35,2050.07
1786,1838.72,211.35,2050.07
1787,1576.05,188.70,1764.75
1788,1576.05,150.96,1727.01
1789,1576.05,135.87,1711.91
1790,1576.05,150.96,1727.01
1791,1576.05,166.06,1742.11
1792,1838.72,188.70,2027.42
1793,2101.40,211.35,2312.74
1794,2101.40,188.70,2290.10
1795,1838.72,150.96,1989.68
1796,1576.05,113.22,1689.27
1797,1313.37,75.48,1388.85
1798,1050.70,60.39,1111.08
1799,788.02,45.29,833.31
1800,788.02,37.74,825.76
1801,788.02,30.19,818.22
1802,788.02,22.64,810.67
1803,788.02,22.64,810.67
1804,788.02,22.64,810.67
1805,1050.70,37.74,1088.44
1806,1313.37,75.48,1388.85
1807,1576.05,135.87,1711.91
1808,1838.72,188.70,2027.42
1809,1838.72,211.35,2050.07
1810,1838.72,211.35,2050.07
1811,1576.05,188.70,1764.75
1812,1576.05,150.96,1727.01
1813,1576.05,135.87,1711.91
1814,1576.05,150.96,1727.01
1815,1576.05,166.06,1742.11
1816,1838.72,188.70,2027.42
1817,2101.40,211.35,2312.74
1818,2101.40,188.70,2290.10
1819,1838.72,150.96,1989.68
1820,1576.05,113.22,1689.27
1821,1313.37,75.48,1388.85
1822,1050.70,60.39,1111.08
1823,788.02,45.29,833.31
1824,788.02,37.74,825.76
1825,788.02,30.19,818.22
1826,788.02,22.64,810.67
1827,788.02,22.64,810.67
1828,788.02,22.64,810.67
1829,1050.70,37.74,1088.44
1830,1313.37,75.48,1388.85
1831,1576.05,135.87,1711.91
1832,1838.72,188.70,2027.42
1833,1838.72,211.35,2050.07
1834,1838.72,211.35,2050.07
1835,1576.05,188.70,1764.75
1836,1576.05,150.96,1727.01
1837,1576.05,135.87,1711.91
1838,1576.05,150.96,1727.01
1839,1576.05,166.06,1742.11
1840,1838.72,188.70,2027.42
1841,2101.40,211.35,2312.74
1842,2101.40,188.70,2290.10
1843,1838.72,150.96,1989.68
1844,1576.05,113.22,1689.27
1845,1313.37,75.48,1388.85
1846,1050.70,60.39,1111.08
1847,788.02,45.29,833.31
1848,788.02,37.74,825.76
1849,788.02,30.19,818.22
1850,788.02,22.64,810.67
1851,788.02,22.64,810.67
1852,788.02,22.64,810.67
1853,1050.70,37.74,1088.44
1854,1313.37,75.48,1388.85
1855,1576.05,135.87,1711.91
1856,1838.72,188.70,2027.42
1857,1838.72,211.35,2050.07
1858,1838.72,211.35,2050.07
1859,1576.05,188.70,1764.75
1860,1576.05,150.96,1727.01
1861,1576.05,135.87,1711.91
1862,1576.05,150.96,1727.01
1863,1576.05,166.06,1742.11
1864,1838.72,188.70,2027.42
1865,2101.40,211.35,2312.74
1866,2101.40,188.70,2290.10
1867,1838.72,150.96,1989.68
1868,1576.05,113.22,1689.27
1869,1313.37,75.48,1388.85
1870,1050.70,60.39,1111.08
1871,788.02,45.29,833.31
1872,788.02,37.74,825.76
1873,788.02,30.19,818.22
1874,788.02,22.64,810.67
1875,788.02,22.64,810.67
1876,788.02,22.64,810.67
1877,1050.70,37.74,1088.44
1878,1313.37,75.48,1388.85
1879,1576.05,135.87,1711.91
1880,1838.72,188.70,2027.42
1881,1838.72,211.35,2050.07
1882,1838.72,211.35,2050.07
1883,1576.05,188.70,1764.75
1884,1576.05,150.96,1727.01
1885,1576.05,135.87,1711.91
1886,1576.05,150.96,1727.01
1887,1576.05,166.06,1742.11
1888,1838.72,188.70,2027.42
1889,2101.40,211.35,2312.74
1890,2101.40,188.70,2290.10
1891,1838.72,150.96,1989.68
1892,1576.05,113.22,1689.27
1893,1313.37,75.48,1388.85
1894,1050.70,60.39,1111.08
1895,788.02,45.29,833.31
1896,788.02,37.74,825.76
1897,788.02,30.19,818.22
1898,788.02,22.64,810.67
1899,788.02,22.64,810.67
1900,788.02,22.64,810.67
1901,1050.70,37.74,1088.44
1902,1313.37,75.48,1388.85
1903,1576.05,135.87,1711.91
1904,1838.72,188.70,2027.42
1905,1838.72,211.35,2050.07
1906,1838.72,211.35,2050.07
1907,1576.05,188.70,1764.75
1908,1576.05,150.96,1727.01
1909,1576.05,135.87,1711.91
1910,1576.05,150.96,1727.01
1911,1576.05,166.06,1742.11
1912,1838.72,188.70,2027.42
1913,2101.40,211.35,2312.74
1914,2101.40,188.70,2290.10
1915,1838.72,150.96,1989.68
1916,1576.05,113.22,1689.27
1917,1313.37,75.48,1388.85
1918,1050.70,60.39,1111.08
1919,788.02,45.29,833.31
1920,788.02,37.74,825.76
1921,788.02,30.19,818.22
1922,788.02,22.64,810.67
1923,788.02,22.64,810.67
1924,788.02,22.64,810.67
1925,1050.70,37.74,1088.44
1926,1313.37,75.48,1388.85
1927,1576.05,135.87,1711.91
1928,1838.72,188.70,2027.42
1929,1838.72,211.35,2050.07
1930,1838.72,211.35,2050.07
1931,1576.05,188.70,1764.75
1932,1576.05,150.96,1727.01
1933,1576.05,135.87,1711.91
1934,1576.05,150.96,1727.01
1935,1576.05,166.06,1742.11
1936,1838.72,188.70,2027.42
1937,2101.40,211.35,2312.74
1938,2101.40,188.70,2290.10
1939,1838.72,150.96,1989.68
1940,1576.05,113.22,1689.27
1941,1313.37,75.48,1388.85
1942,1050.70,60.39,1111.08
1943,788.02,45.29,833.31
1944,788.02,37.74,825.76
1945,788.02,30.19,818.22
1946,788.02,22.64,810.67
1947,788.02,22.64,810.67
1948,788.02,22.64,810.67
1949,1050.70,37.74,1088.44
1950,1313.37,75.48,1388.85
1951,1576.05,135.87,1711.91
1952,1838.72,188.70,2027.42
1953,1838.72,211.35,2050.07
1954,1838.72,211.35,2050.07
1955,1576.05,188.70,1764.75
1956,1576.05,150.96,1727.01
1957,1576.05,135.87,1711.91
1958,1576.05,150.96,1727.01
1959,1576.05,166.06,1742.11
1960,1838.72,188.70,2027.42
1961,2101.40,211.35,2312.74
1962,2101.40,188.70,2290.10
1963,1838.72,150.96,1989.68
1964,1576.05,113.22,1689.27
1965,1313.37,75.48,1388.85
1966,1050.70,60.39,1111.08
1967,788.02,45.29,833.31
1968,788.02,37.74,825.76
1969,788.02,30.19,818.22
1970,788.02,22.64,810.67
1971,788.02,22.64,810.67
1972,788.02,22.64,810.67
1973,1050.70,37.74,1088.44
1974,1313.37,75.48,1388.85
1975,1576.05,135.87,1711.91
1976,1838.72,188.70,2027.42
1977,1838.72,211.35,2050.07
1978,1838.72,211.35,2050.07
1979,1576.05,188.70,1764.75
1980,1576.05,150.96,1727.01
1981,1576.05,135.87,1711.91
1982,1576.05,150.96,1727.01
1983,1576.05,166.06,1742.11
1984,1838.72,188.70,2027.42
1985,2101.40,211.35,2312.74
1986,2101.40,188.70,2290.10
1987,1838.72,150.96,1989.68
1988,1576.05,113.22,1689.27
1989,1313.37,75.48,1388.85
1990,1050.70,60.39,1111.08
1991,788.02,45.29,833.31
1992,788.02,37.74,825.76
1993,788.02,30.19,818.22
1994,788.02,22.64,810.67
1995,788.02,22.64,810.67
1996,788.02,22.64,810.67
1997,1050.70,37.74,1088.44
1998,1313.37,75.48,1388.85
1999,1576.05,135.87,1711.91
2000,1838.72,188.70,2027.42
2001,1838.72,211.35,2050.07
2002,1838.72,211.35,2050.07
2003,1576.05,188.70,1764.75
2004,1576.05,150.96,1727.01
2005,1576.05,135.87,1711.91
2006,1576.05,150.96,1727.01
2007,1576.05,166.06,1742.11
2008,1838.72,188.70,2027.42
2009,2101.40,211.35,2312.74
2010,2101.40,188.70,2290.10
2011,1838.72,150.96,1989.68
2012,1576.05,113.22,1689.27
2013,1313.37,75.48,1388.85
2014,1050.70,60.39,1111.08
2015,788.02,45.29,833.31
2016,788.02,37.74,825.76
2017,788.02,30.19,818.22
2018,788.02,22.64,810.67
2019,788.02,22.64,810.67
2020,788.02,22.64,810.67
2021,1050.70,37.74,1088.44
2022,1313.37,75.48,1388.85
2023,1576.05,135.87,1711.91
2024,1838.72,188.70,2027.42
2025,1838.72,211.35,2050.07
2026,1838.72,211.35,2050.07
2027,1576.05,188.70,1764.75
2028,1576.05,150.96,1727.01
2029,1576.05,135.87,1711.91
2030,1576.05,150.96,1727.01
2031,1576.05,166.06,1742.11
2032,1838.72,188.70,2027.42
2033,2101.40,211.35,2312.74
2034,2101.40,188.70,2290.10
2035,1838.72,150.96,1989.68
2036,1576.05,113.22,1689.27
2037,1313.37,75.48,1388.85
2038,1050.70,60.39,1111.08
2039,788.02,45.29,833.31
2040,788.02,37.74,825.76
2041,788.02,30.19,818.22
2042,788.02,22.64,810.67
2043,788.02,22.64,810.67
2044,788.02,22.64,810.67
2045,1050.70,37.74,1088.44
2046,1313.37,75.48,1388.85
2047,1576.05,135.87,1711.91
2048,1838.72,188.70,2027.42
2049,1838.72,211.35,2050.07
2050,1838.72,211.35,2050.07
2051,1576.05,188.70,1764.75
2052,1576.05,150.96,1727.01
2053,1576.05,135.87,1711.91
2054,1576.05,150.96,1727.01
2055,1576.05,166.06,1742.11
2056,1838.72,188.70,2027.42
2057,2101.40,211.35,2312.74
2058,2101.40,188.70,2290.10
2059,1838.72,150.96,1989.68
2060,1576.05,113.22,1689.27
2061,1313.37,75.48,1388.85
2062,1050.70,60.39,1111.08
2063,788.02,45.29,833.31
2064,788.02,37.74,825.76
2065,788.02,30.19,818.22
2066,788.02,22.64,810.67
2067,788.02,22.64,810.67
2068,788.02,22.64,810.67
2069,1050.70,37.74,1088.44
2070,1313.37,75.48,1388.85
2071,1576.05,135.87,1711.91
2072,1838.72,188.70,2027.42
2073,1838.72,211.35,2050.07
2074,1838.72,211.35,2050.07
2075,1576.05,188.70,1764.75
2076,1576.05,150.96,1727.01
2077,1576.05,135.87,1711.91
2078,1576.05,150.96,1727.01
2079,1576.05,166.06,1742.11
2080,1838.72,188.70,2027.42
2081,2101.40,211.35,2312.74
2082,2101.40,188.70,2290.10
2083,1838.72,150.96,1989.68
2084,1576.05,113.22,1689.27
2085,1313.37,75.48,1388.85
2086,1050.70,60.39,1111.08
2087,788.02,45.29,833.31
2088,788.02,37.74,825.76
2089,788.02,30.19,818.22
2090,788.02,22.64,810.67
2091,788.02,22.64,810.67
2092,788.02,22.64,810.67
2093,1050.70,37.74,1088.44
2094,1313.37,75.48,1388.85
2095,1576.05,135.87,1711.91
2096,1838.72,188.70,2027.42
2097,1838.72,211.35,2050.07
2098,1838.72,211.35,2050.07
2099,1576.05,188.70,1764.75
2100,1576.05,150.96,1727.01
2101,1576.05,135.87,1711.91
2102,1576.05,150.96,1727.01
2103,1576.05,166.06,1742.11
2104,1838.72,188.70,2027.42
2105,2101.40,211.35,2312.74
2106,2101.40,188.70,2290.10
2107,1838.72,150.96,1989.68
2108,1576.05,113.22,1689.27
2109,1313.37,75.48,1388.85
2110,1050.70,60.39,1111.08
2111,788.02,45.29,833.31
2112,788.02,37.74,825.76
2113,788.02,30.19,818.22
2114,788.02,22.64,810.67
2115,788.02,22.64,810.67
2116,788.02,22.64,810.67
2117,1050.70,37.74,1088.44
2118,1313.37,75.48,1388.85
2119,1576.05,135.87,1711.91
2120,1838.72,188.70,2027.42
2121,1838.72,211.35,2050.07
2122,1838.72,211.35,2050.07
2123,1576.05,188.70,1764.75
2124,1576.05,150.96,1727.01
2125,1576.05,135.87,1711.91
2126,1576.05,150.96,1727.01
2127,1576.05,166.06,1742.11
2128,1838.72,188.70,2027.42
2129,2101.40,211.35,2312.74
2130,2101.40,188.70,2290.10
2131,1838.72,150.96,1989.68
2132,1576.05,113.22,1689.27
2133,1313.37,75.48,1388.85
2134,1050.70,60.39,1111.08
2135,788.02,45.29,833.31
2136,788.02,37.74,825.76
2137,788.02,30.19,818.22
2138,788.02,22.64,810.67
2139,788.02,22.64,810.67
2140,788.02,22.64,810.67
2141,1050.70,37.74,1088.44
2142,1313.37,75.48,1388.85
2143,1576.05,135.87,1711.91
2144,1838.72,188.70,2027.42
2145,1838.72,211.35,2050.07
2146,1838.72,211.35,2050.07
2147,1576.05,188.70,1764.75
2148,1576.05,150.96,1727.01
2149,1576.05,135.87,1711.91
2150,1576.05,150.96,1727.01
2151,1576.05,166.06,1742.11
2152,1838.72,188.70,2027.42
2153,2101.40,211.35,2312.74
2154,2101.40,188.70,2290.10
2155,1838.72,150.96,1989.68
2156,1576.05,113.22,1689.27
2157,1313.37,75.48,1388.85
2158,1050.70,60.39,1111.08
2159,788.02,45.29,833.31
2160,788.02,37.74,825.76
2161,788.02,30.19,818.22
2162,788.02,22.64,810.67
2163,788.02,22.64,810.67
2164,788.02,22.64,810.67
2165,1050.70,37.74,1088.44
2166,1313.37,75.48,1388.85
2167,1576.05,135.87,1711.91
2168,1838.72,188.70,2027.42
2169,1838.72,211.35,2050.07
2170,1838.72,211.35,2050.07
2171,1576.05,188.70,1764.75
2172,1576.05,150.96,1727.01
2173,1576.05,135.87,1711.91
2174,1576.05,150.96,1727.01
2175,1576.05,166.06,1742.11
2176,1838.72,188.70,2027.42
2177,2101.40,211.35,2312.74
2178,2101.40,188.70,2290.10
2179,1838.72,150.96,1989.68
2180,1576.05,113.22,1689.27
2181,1313.37,75.48,1388.85
2182,1050.70,60.39,1111.08
2183,788.02,45.29,833.31
2184,788.02,37.74,825.76
2185,788.02,30.19,818.22
2186,788.02,22.64,810.67
2187,788.02,22.64,810.67
2188,788.02,22.64,810.67
2189,1050.70,37.74,1088.44
2190,1313.37,75.48,1388.85
2191,1576.05,135.87,1711.91
2192,1838.72,188.70,2027.42
2193,1838.72,211.35,2050.07
2194,1838.72,211.35,2050.07
2195,1576.05,188.70,1764.75
2196,1576.05,150.96,1727.01
2197,1576.05,135.87,1711.91
2198,1576.05,150.96,1727.01
2199,1576.05,166.06,1742.11
2200,1838.72,188.70,2027.42
2201,2101.40,211.35,2312.74
2202,2101.40,188.70,2290.10
2203,1838.72,150.96,1989.68
2204,1576.05,113.22,1689.27
2205,1313.37,75.48,1388.85
2206,1050.70,60.39,1111.08
2207,788.02,45.29,833.31
2208,788.02,37.74,825.76
2209,788.02,30.19,818.22
2210,788.02,22.64,810.67
2211,788.02,22.64,810.67
2212,788.02,22.64,810.67
2213,1050.70,37.74,1088.44
2214,1313.37,75.48,1388.85
2215,1576.05,135.87,1711.91
2216,1838.72,188.70,2027.42
2217,1838.72,211.35,2050.07
2218,1838.72,211.35,2050.07
2219,1576.05,188.70,1764.75
2220,1576.05,150.96,1727.01
2221,1576.05,135.87,1711.91
2222,1576.05,150.96,1727.01
2223,1576.05,166.06,1742.11
2224,1838.72,188.70,2027.42
2225,2101.40,211.35,2312.74
2226,2101.40,188.70,2290.10
2227,1838.72,150.96,1989.68
2228,1576.05,113.22,1689.27
2229,1313.37,75.48,1388.85
2230,1050.70,60.39,1111.08
2231,788.02,45.29,833.31
2232,788.02,37.74,825.76
2233,788.02,30.19,818.22
2234,788.02,22.64,810.67
2235,788.02,22.64,810.67
2236,788.02,22.64,810.67
2237,1050.70,37.74,1088.44
2238,1313.37,75.48,1388.85
2239,1576.05,135.87,1711.91
2240,1838.72,188.70,2027.42
2241,1838.72,211.35,2050.07
2242,1838.72,211.35,2050.07
2243,1576.05,188.70,1764.75
2244,1576.05,150.96,1727.01
2245,1576.05,135.87,1711.91
2246,1576.05,150.96,1727.01
2247,1576.05,166.06,1742.11
2248,1838.72,188.70,2027.42
2249,2101.40,211.35,2312.74
2250,2101.40,188.70,2290.10
2251,1838.72,150.96,1989.68
2252,1576.05,113.22,1689.27
2253,1313.37,75.48,1388.85
2254,1050.70,60.39,1111.08
2255,788.02,45.29,833.31
2256,788.02,37.74,825.76
2257,788.02,30.19,818.22
2258,788.02,22.64,810.67
2259,788.02,22.64,810.67
2260,788.02,22.64,810.67
2261,1050.70,37.74,1088.44
2262,1313.37,75.48,1388.85
2263,1576.05,135.87,1711.91
2264,1838.72,188.70,2027.42
2265,1838.72,211.35,2050.07
2266,1838.72,211.35,2050.07
2267,1576.05,188.70,1764.75
2268,1576.05,150.96,1727.01
2269,1576.05,135.87,1711.91
2270,1576.05,150.96,1727.01
2271,1576.05,166.06,1742.11
2272,1838.72,188.70,2027.42
2273,2101.40,211.35,2312.74
2274,2101.40,188.70,2290.10
2275,1838.72,150.96,1989.68
2276,1576.05,113.22,1689.27
2277,1313.37,75.48,1388.85
2278,1050.70,60.39,1111.08
2279,788.02,45.29,833.31
2280,788.02,37.74,825.76
2281,788.02,30.19,818.22
2282,788.02,22.64,810.67
2283,788.02,22.64,810.67
2284,788.02,22.64,810.67
2285,1050.70,37.74,1088.44
2286,1313.37,75.48,1388.85
2287,1576.05,135.87,1711.91
2288,1838.72,188.70,2027.42
2289,1838.72,211.35,2050.07
2290,1838.72,211.35,2050.07
2291,1576.05,188.70,1764.75
2292,1576.05,150.96,1727.01
2293,1576.05,135.87,1711.91
2294,1576.05,150.96,1727.01
2295,1576.05,166.06,1742.11
2296,1838.72,188.70,2027.42
2297,2101.40,211.35,2312.74
2298,2101.40,188.70,2290.10
2299,1838.72,150.96,1989.68
2300,1576.05,113.22,1689.27
2301,1313.37,75.48,1388.85
2302,1050.70,60.39,1111.08
2303,788.02,45.29,833.31
2304,788.02,37.74,825.76
2305,788.02,30.19,818.22
2306,788.02,22.64,810.67
2307,788.02,22.64,810.67
2308,788.02,22.64,810.67
2309,1050.70,37.74,1088.44
2310,1313.37,75.48,1388.85
2311,1576.05,135.87,1711.91
2312,1838.72,188.70,2027.42
2313,1838.72,211.35,2050.07
2314,1838.72,211.35,2050.07
2315,1576.05,188.70,1764.75
2316,1576.05,150.96,1727.01
2317,1576.05,135.87,1711.91
2318,1576.05,150.96,1727.01
2319,1576.05,166.06,1742.11
2320,1838.72,188.70,2027.42
2321,2101.40,211.35,2312.74
2322,2101.40,188.70,2290.10
2323,1838.72,150.96,1989.68
2324,1576.05,113.22,1689.27
2325,1313.37,75.48,1388.85
2326,1050.70,60.39,1111.08
2327,788.02,45.29,833.31
2328,788.02,37.74,825.76
2329,788.02,30.19,818.22
2330,788.02,22.64,810.67
2331,788.02,22.64,810.67
2332,788.02,22.64,810.67
2333,1050.70,37.74,1088.44
2334,1313.37,75.48,1388.85
2335,1576.05,135.87,1711.91
2336,1838.72,188.70,2027.42
2337,1838.72,211.35,2050.07
2338,1838.72,211.35,2050.07
2339,1576.05,188.70,1764.75
2340,1576.05,150.96,1727.01
2341,1576.05,135.87,1711.91
2342,1576.05,150.96,1727.01
2343,1576.05,166.06,1742.11
2344,1838.72,188.70,2027.42
2345,2101.40,211.35,2312.74
2346,2101.40,188.70,2290.10
2347,1838.72,150.96,1989.68
2348,1576.05,113.22,1689.27
2349,1313.37,75.48,1388.85
2350,1050.70,60.39,1111.08
2351,788.02,45.29,833.31
2352,788.02,37.74,825.76
2353,788.02,30.19,818.22
2354,788.02,22.64,810.67
2355,788.02,22.64,810.67
2356,788.02,22.64,810.67
2357,1050.70,37.74,1088.44
2358,1313.37,75.48,1388.85
2359,1576.05,135.87,1711.91
2360,1838.72,188.70,2027.42
2361,1838.72,211.35,2050.07
2362,1838.72,211.35,2050.07
2363,1576.05,188.70,1764.75
2364,1576.05,150.96,1727.01
2365,1576.05,135.87,1711.91
2366,1576.05,150.96,1727.01
2367,1576.05,166.06,1742.11
2368,1838.72,188.70,2027.42
2369,2101.40,211.35,2312.74
2370,2101.40,188.70,2290.10
2371,1838.72,150.96,1989.68
2372,1576.05,113.22,1689.27
2373,1313.37,75.48,1388.85
2374,1050.70,60.39,1111.08
2375,788.02,45.29,833.31
2376,788.02,37.74,825.76
2377,788.02,30.19,818.22
2378,788.02,22.64,810.67
2379,788.02,22.64,810.67
2380,788.02,22.64,810.67
2381,1050.70,37.74,1088.44
2382,1313.37,75.48,1388.85
2383,1576.05,135.87,1711.91
2384,1838.72,188.70,2027.42
2385,1838.72,211.35,2050.07
2386,1838.72,211.35,2050.07
2387,1576.05,188.70,1764.75
2388,1576.05,150.96,1727.01
2389,1576.05,135.87,1711.91
2390,1576.05,150.96,1727.01
2391,1576.05,166.06,1742.11
2392,1838.72,188.70,2027.42
2393,2101.40,211.35,2312.74
2394,2101.40,188.70,2290.10
2395,1838.72,150.96,1989.68
2396,1576.05,113.22,1689.27
2397,1313.37,75.48,1388.85
2398,1050.70,60.39,1111.08
2399,788.02,45.29,833.31
2400,788.02,37.74,825.76
2401,788.02,30.19,818.22
2402,788.02,22.64,810.67
2403,788.02,22.64,810.67
2404,788.02,22.64,810.67
2405,1050.70,37.74,1088.44
2406,1313.37,75.48,1388.85
2407,1576.05,135.87,1711.91
2408,1838.72,188.70,2027.42
2409,1838.72,211.35,2050.07
2410,1838.72,211.35,2050.07
2411,1576.05,188.70,1764.75
2412,1576.05,150.96,1727.01
2413,1576.05,135.87,1711.91
2414,1576.05,150.96,1727.01
2415,1576.05,166.06,1742.11
2416,1838.72,188.70,2027.42
2417,2101.40,211.35,2312.74
2418,2101.40,188.70,2290.10
2419,1838.72,150.96,1989.68
2420,1576.05,113.22,1689.27
2421,1313.37,75.48,1388.85
2422,1050.70,60.39,1111.08
2423,788.02,45.29,833.31
2424,788.02,37.74,825.76
2425,788.02,30.19,818.22
2426,788.02,22.64,810.67
2427,788.02,22.64,810.67
2428,788.02,22.64,810.67
2429,1050.70,37.74,1088.44
2430,1313.37,75.48,1388.85
2431,1576.05,135.87,1711.91
2432,1838.72,188.70,2027.42
2433,1838.72,211.35,2050.07
2434,1838.72,211.35,2050.07
2435,1576.05,188.70,1764.75
2436,1576.05,150.96,1727.01
2437,1576.05,135.87,1711.91
2438,1576.05,150.96,1727.01
2439,1576.05,166.06,1742.11
2440,1838.72,188.70,2027.42
2441,2101.40,211.35,2312.74
2442,2101.40,188.70,2290.10
2443,1838.72,150.96,1989.68
2444,1576.05,113.22,1689.27
2445,1313.37,75.48,1388.85
2446,1050.70,60.39,1111.08
2447,788.02,45.29,833.31
2448,788.02,37.74,825.76
2449,788.02,30.19,818.22
2450,788.02,22.64,810.67
2451,788.02,22.64,810.67
2452,788.02,22.64,810.67
2453,1050.70,37.74,1088.44
2454,1313.37,75.48,1388.85
2455,1576.05,135.87,1711.91
2456,1838.72,188.70,2027.42
2457,1838.72,211.35,2050.07
2458,1838.72,211.35,2050.07
2459,1576.05,188.70,1764.75
2460,1576.05,150.96,1727.01
2461,1576.05,135.87,1711.91
2462,1576.05,150.96,1727.01
2463,1576.05,166.06,1742.11
2464,1838.72,188.70,2027.42
2465,2101.40,211.35,2312.74
2466,2101.40,188.70,2290.10
2467,1838.72,150.96,1989.68
2468,1576.05,113.22,1689.27
2469,1313.37,75.48,1388.85
2470,1050.70,60.39,1111.08
2471,788.02,45.29,833.31
2472,788.02,37.74,825.76
2473,788.02,30.19,818.22
2474,788.02,22.64,810.67
2475,788.02,22.64,810.67
2476,788.02,22.64,810.67
2477,1050.70,37.74,1088.44
2478,1313.37,75.48,1388.85
2479,1576.05,135.87,1711.91
2480,1838.72,188.70,2027.42
2481,1838.72,211.35,2050.07
2482,1838.72,211.35,2050.07
2483,1576.05,188.70,1764.75
2484,1576.05,150.96,1727.01
2485,1576.05,135.87,1711.91
2486,1576.05,150.96,1727.01
2487,1576.05,166.06,1742.11
2488,1838.72,188.70,2027.42
2489,2101.40,211.35,2312.74
2490,2101.40,188.70,2290.10
2491,1838.72,150.96,1989.68
2492,1576.05,113.22,1689.27
2493,1313.37,75.48,1388.85
2494,1050.70,60.39,1111.08
2495,788.02,45.29,833.31
2496,788.02,37.74,825.76
2497,788.02,30.19,818.22
2498,788.02,22.64,810.67
2499,788.02,22.64,810.67
2500,788.02,22.64,810.67
2501,1050.70,37.74,1088.44
2502,1313.37,75.48,1388.85
2503,1576.05,135.87,1711.91
2504,1838.72,188.70,2027.42
2505,1838.72,211.35,2050.07
2506,1838.72,211.35,2050.07
2507,1576.05,188.70,1764.75
2508,1576.05,150.96,1727.01
2509,1576.05,135.87,1711.91
2510,1576.05,150.96,1727.01
2511,1576.05,166.06,1742.11
2512,1838.72,188.70,2027.42
2513,2101.40,211.35,2312.74
2514,2101.40,188.70,2290.10
2515,1838.72,150.96,1989.68
2516,1576.05,113.22,1689.27
2517,1313.37,75.48,1388.85
2518,1050.70,60.39,1111.08
2519,788.02,45.29,833.31
2520,788.02,37.74,825.76
2521,788.02,30.19,818.22
2522,788.02,22.64,810.67
2523,788.02,22.64,810.67
2524,788.02,22.64,810.67
2525,1050.70,37.74,1088.44
2526,1313.37,75.48,1388.85
2527,1576.05,135.87,1711.91
2528,1838.72,188.70,2027.42
2529,1838.72,211.35,2050.07
2530,1838.72,211.35,2050.07
2531,1576.05,188.70,1764.75
2532,1576.05,150.96,1727.01
2533,1576.05,135.87,1711.91
2534,1576.05,150.96,1727.01
2535,1576.05,166.06,1742.11
2536,1838.72,188.70,2027.42
2537,2101.40,211.35,2312.74
2538,2101.40,188.70,2290.10
2539,1838.72,150.96,1989.68
2540,1576.05,113.22,1689.27
2541,1313.37,75.48,1388.85
2542,1050.70,60.39,1111.08
2543,788.02,45.29,833.31
2544,788.02,37.74,825.76
2545,788.02,30.19,818.22
2546,788.02,22.64,810.67
2547,788.02,22.64,810.67
2548,788.02,22.64,810.67
2549,1050.70,37.74,1088.44
2550,1313.37,75.48,1388.85
2551,1576.05,135.87,1711.91
2552,1838.72,188.70,2027.42
2553,1838.72,211.35,2050.07
2554,1838.72,211.35,2050.07
2555,1576.05,188.70,1764.75
2556,1576.05,150.96,1727.01
2557,1576.05,135.87,1711.91
2558,1576.05,150.96,1727.01
2559,1576.05,166.06,1742.11
2560,1838.72,188.70,2027.42
2561,2101.40,211.35,2312.74
2562,2101.40,188.70,2290.10
2563,1838.72,150.96,1989.68
2564,1576.05,113.22,1689.27
2565,1313.37,75.48,1388.85
2566,1050.70,60.39,1111.08
2567,788.02,45.29,833.31
2568,788.02,37.74,825.76
2569,788.02,30.19,818.22
2570,788.02,22.64,810.67
2571,788.02,22.64,810.67
2572,788.02,22.64,810.67
2573,1050.70,37.74,1088.44
2574,1313.37,75.48,1388.85
2575,1576.05,135.87,1711.91
2576,1838.72,188.70,2027.42
2577,1838.72,211.35,2050.07
2578,1838.72,211.35,2050.07
