Hour,PV_Generation_kWh,Total_Demand_kWh,Solar_Surplus_Deficit_kWh,PV_Coverage_Percent
2293,2637.08,1711.91,925.17,154.04
2294,2333.16,1727.01,606.15,135.10
2295,1902.45,1742.11,160.35,109.20
2296,1429.65,2027.42,-597.78,70.52
2297,990.13,2312.74,-1322.61,42.81
2298,0.00,2290.10,-2290.10,0.00
2299,0.00,1989.68,-1989.68,0.00
2300,0.00,1689.27,-1689.27,0.00
2301,0.00,1388.85,-1388.85,0.00
2302,0.00,1111.08,-1111.08,0.00
2303,0.00,833.31,-833.31,0.00
2304,0.00,825.76,-825.76,0.00
2305,0.00,818.22,-818.22,0.00
2306,0.00,810.67,-810.67,0.00
2307,0.00,810.67,-810.67,0.00
2308,0.00,810.67,-810.67,0.00
2309,372.06,1088.44,-716.38,34.18
2310,632.50,1388.85,-756.36,45.54
2311,990.94,1711.91,-720.97,57.88
2312,1430.81,2027.42,-596.61,70.57
2313,1904.00,2050.07,-146.07,92.88
2314,2335.06,2050.07,285.00,113.90
2315,2639.23,1764.75,874.48,149.55
2316,2749.19,1727.01,1022.18,159.19
2317,2639.23,1711.91,927.32,154.17
2318,2335.06,1727.01,608.06,135.21
2319,1904.00,1742.11,161.90,109.29
2320,1430.81,2027.42,-596.61,70.57
2321,990.94,2312.74,-1321.80,42.85
2322,0.00,2290.10,-2290.10,0.00
2323,0.00,1989.68,-1989.68,0.00
2324,0.00,1689.27,-1689.27,0.00
2325,0.00,1388.85,-1388.85,0.00
2326,0.00,1111.08,-1111.08,0.00
2327,0.00,833.31,-833.31,0.00
2328,0.00,825.76,-825.76,0.00
2329,0.00,818.22,-818.22,0.00
2330,0.00,810.67,-810.67,0.00
2331,0.00,810.67,-810.67,0.00
2332,0.00,810.67,-810.67,0.00
2333,372.36,1088.44,-716.07,34.21
2334,633.01,1388.85,-755.85,45.58
2335,991.74,1711.91,-720.17,57.93
2336,1431.97,2027.42,-595.45,70.63
2337,1905.54,2050.07,-144.52,92.95
2338,2336.96,2050.07,286.89,113.99
2339,2641.37,1764.75,876.62,149.67
2340,2751.41,1727.01,1024.40,159.32
2341,2641.37,1711.91,929.46,154.29
2342,2336.96,1727.01,609.95,135.32
2343,1905.54,1742.11,163.44,109.38
2344,1431.97,2027.42,-595.45,70.63
2345,991.74,2312.74,-1321.00,42.88
2346,0.00,2290.10,-2290.10,0.00
2347,0.00,1989.68,-1989.68,0.00
2348,0.00,1689.27,-1689.27,0.00
2349,0.00,1388.85,-1388.85,0.00
2350,0.00,1111.08,-1111.08,0.00
2351,0.00,833.31,-833.31,0.00
2352,0.00,825.76,-825.76,0.00
2353,0.00,818.22,-818.22,0.00
2354,0.00,810.67,-810.67,0.00
2355,0.00,810.67,-810.67,0.00
2356,0.00,810.67,-810.67,0.00
2357,372.66,1088.44,-715.78,34.24
2358,633.52,1388.85,-755.34,45.61
2359,992.54,1711.91,-719.37,57.98
2360,1433.13,2027.42,-594.30,70.69
2361,1907.08,2050.07,-142.99,93.03
2362,2338.84,2050.07,288.77,114.09
2363,2643.50,1764.75,878.75,149.79
2364,2753.63,1727.01,1026.62,159.44
2365,2643.50,1711.91,931.59,154.42
2366,2338.84,1727.01,611.83,135.43
2367,1907.08,1742.11,164.97,109.47
2368,1433.13,2027.42,-594.30,70.69
2369,992.54,2312.74,-1320.20,42.92
2370,0.00,2290.10,-2290.10,0.00
2371,0.00,1989.68,-1989.68,0.00
2372,0.00,1689.27,-1689.27,0.00
2373,0.00,1388.85,-1388.85,0.00
2374,0.00,1111.08,-1111.08,0.00
2375,0.00,833.31,-833.31,0.00
2376,0.00,825.76,-825.76,0.00
2377,0.00,818.22,-818.22,0.00
2378,0.00,810.67,-810.67,0.00
2379,0.00,810.67,-810.67,0.00
2380,0.00,810.67,-810.67,0.00
2381,372.96,1088.44,-715.48,34.27
2382,634.02,1388.85,-754.83,45.65
2383,993.33,1711.91,-718.58,58.02
2384,1434.27,2027.42,-593.15,70.74
2385,1908.60,2050.07,-141.46,93.10
2386,2340.71,2050.07,290.64,114.18
2387,2645.61,1764.75,880.86,149.91
2388,2755.83,1727.01,1028.82,159.57
2389,2645.61,1711.91,933.70,154.54
2390,2340.71,1727.01,613.70,135.54
2391,1908.60,1742.11,166.50,109.56
2392,1434.27,2027.42,-593.15,70.74
2393,993.33,2312.74,-1319.41,42.95
2394,0.00,2290.10,-2290.10,0.00
2395,0.00,1989.68,-1989.68,0.00
2396,0.00,1689.27,-1689.27,0.00
2397,0.00,1388.85,-1388.85,0.00
2398,0.00,1111.08,-1111.08,0.00
2399,0.00,833.31,-833.31,0.00
2400,0.00,825.76,-825.76,0.00
2401,0.00,818.22,-818.22,0.00
2402,0.00,810.67,-810.67,0.00
2403,0.00,810.67,-810.67,0.00
2404,0.00,810.67,-810.67,0.00
2405,373.26,1088.44,-715.18,34.29
2406,634.53,1388.85,-754.33,45.69
2407,994.12,1711.91,-717.79,58.07
2408,1435.41,2027.42,-592.01,70.80
2409,1910.12,2050.07,-139.95,93.17
2410,2342.57,2050.07,292.50,114.27
2411,2647.71,1764.75,882.96,150.03
2412,2758.02,1727.01,1031.01,159.70
2413,2647.71,1711.91,935.80,154.66
2414,2342.57,1727.01,615.56,135.64
2415,1910.12,1742.11,168.01,109.64
2416,1435.41,2027.42,-592.01,70.80
2417,994.12,2312.74,-1318.62,42.98
2418,0.00,2290.10,-2290.10,0.00
2419,0.00,1989.68,-1989.68,0.00
2420,0.00,1689.27,-1689.27,0.00
2421,0.00,1388.85,-1388.85,0.00
2422,0.00,1111.08,-1111.08,0.00
2423,0.00,833.31,-833.31,0.00
2424,0.00,825.76,-825.76,0.00
2425,0.00,818.22,-818.22,0.00
2426,0.00,810.67,-810.67,0.00
2427,0.00,810.67,-810.67,0.00
2428,0.00,810.67,-810.67,0.00
2429,373.55,1088.44,-714.89,34.32
2430,635.03,1388.85,-753.83,45.72
2431,994.91,1711.91,-717.01,58.12
2432,1436.54,2027.42,-590.88,70.86
2433,1911.63,2050.07,-138.44,93.25
2434,2344.42,2050.07,294.35,114.36
2435,2649.80,1764.75,885.05,150.15
2436,2760.20,1727.01,1033.19,159.83
2437,2649.80,1711.91,937.89,154.79
2438,2344.42,1727.01,617.41,135.75
2439,1911.63,1742.11,169.52,109.73
2440,1436.54,2027.42,-590.88,70.86
2441,994.91,2312.74,-1317.84,43.02
2442,0.00,2290.10,-2290.10,0.00
2443,0.00,1989.68,-1989.68,0.00
2444,0.00,1689.27,-1689.27,0.00
2445,0.00,1388.85,-1388.85,0.00
2446,0.00,1111.08,-1111.08,0.00
2447,0.00,833.31,-833.31,0.00
2448,0.00,825.76,-825.76,0.00
2449,0.00,818.22,-818.22,0.00
2450,0.00,810.67,-810.67,0.00
2451,0.00,810.67,-810.67,0.00
2452,0.00,810.67,-810.67,0.00
2453,373.84,1088.44,-714.59,34.35
2454,635.52,1388.85,-753.33,45.76
2455,995.68,1711.91,-716.23,58.16
2456,1437.67,2027.42,-589.76,70.91
2457,1913.12,2050.07,-136.95,93.32
2458,2346.25,2050.07,296.18,114.45
2459,2651.88,1764.75,887.13,150.27
2460,2762.35,1727.01,1035.35,159.95
2461,2651.88,1711.91,939.96,154.91
2462,2346.25,1727.01,619.24,135.86
2463,1913.12,1742.11,171.02,109.82
2464,1437.67,2027.42,-589.76,70.91
2465,995.68,2312.74,-1317.06,43.05
2466,0.00,2290.10,-2290.10,0.00
2467,0.00,1989.68,-1989.68,0.00
2468,0.00,1689.27,-1689.27,0.00
2469,0.00,1388.85,-1388.85,0.00
2470,0.00,1111.08,-1111.08,0.00
2471,0.00,833.31,-833.31,0.00
2472,0.00,825.76,-825.76,0.00
2473,0.00,818.22,-818.22,0.00
2474,0.00,810.67,-810.67,0.00
2475,0.00,810.67,-810.67,0.00
2476,0.00,810.67,-810.67,0.00
2477,374.13,1088.44,-714.30,34.37
2478,636.02,1388.85,-752.84,45.79
2479,996.46,1711.91,-715.46,58.21
2480,1438.78,2027.42,-588.64,70.97
2481,1914.61,2050.07,-135.46,93.39
2482,2348.07,2050.07,298.00,114.54
2483,2653.93,1764.75,889.18,150.39
2484,2764.50,1727.01,1037.49,160.07
2485,2653.93,1711.91,942.02,155.03
2486,2348.07,1727.01,621.06,135.96
2487,1914.61,1742.11,172.50,109.90
2488,1438.78,2027.42,-588.64,70.97
2489,996.46,2312.74,-1316.29,43.09
2490,0.00,2290.10,-2290.10,0.00
2491,0.00,1989.68,-1989.68,0.00
2492,0.00,1689.27,-1689.27,0.00
2493,0.00,1388.85,-1388.85,0.00
2494,0.00,1111.08,-1111.08,0.00
2495,0.00,833.31,-833.31,0.00
2496,0.00,825.76,-825.76,0.00
2497,0.00,818.22,-818.22,0.00
2498,0.00,810.67,-810.67,0.00
2499,0.00,810.67,-810.67,0.00
2500,0.00,810.67,-810.67,0.00
2501,374.42,1088.44,-714.02,34.40
2502,636.51,1388.85,-752.35,45.83
2503,997.22,1711.91,-714.69,58.25
2504,1439.89,2027.42,-587.53,71.02
2505,1916.08,2050.07,-133.99,93.46
2506,2349.88,2050.07,299.81,114.62
2507,2655.98,1764.75,891.23,150.50
2508,2766.63,1727.01,1039.62,160.20
2509,2655.98,1711.91,944.06,155.15
2510,2349.88,1727.01,622.87,136.07
2511,1916.08,1742.11,173.98,109.99
2512,1439.89,2027.42,-587.53,71.02
2513,997.22,2312.74,-1315.52,43.12
2514,0.00,2290.10,-2290.10,0.00
2515,0.00,1989.68,-1989.68,0.00
2516,0.00,1689.27,-1689.27,0.00
2517,0.00,1388.85,-1388.85,0.00
2518,0.00,1111.08,-1111.08,0.00
2519,0.00,833.31,-833.31,0.00
2520,0.00,825.76,-825.76,0.00
2521,0.00,818.22,-818.22,0.00
2522,0.00,810.67,-810.67,0.00
2523,0.00,810.67,-810.67,0.00
2524,0.00,810.67,-810.67,0.00
2525,374.71,1088.44,-713.73,34.43
2526,636.99,1388.85,-751.86,45.86
2527,997.99,1711.91,-713.93,58.30
2528,1440.99,2027.42,-586.43,71.07
2529,1917.54,2050.07,-132.53,93.54
2530,2351.67,2050.07,301.60,114.71
2531,2658.00,1764.75,893.25,150.62
2532,2768.74,1727.01,1041.73,160.32
2533,2658.00,1711.91,946.09,155.27
2534,2351.67,1727.01,624.66,136.17
2535,1917.54,1742.11,175.44,110.07
2536,1440.99,2027.42,-586.43,71.07
2537,997.99,2312.74,-1314.76,43.15
2538,0.00,2290.10,-2290.10,0.00
2539,0.00,1989.68,-1989.68,0.00
2540,0.00,1689.27,-1689.27,0.00
2541,0.00,1388.85,-1388.85,0.00
2542,0.00,1111.08,-1111.08,0.00
2543,0.00,833.31,-833.31,0.00
2544,0.00,825.76,-825.76,0.00
2545,0.00,818.22,-818.22,0.00
2546,0.00,810.67,-810.67,0.00
2547,0.00,810.67,-810.67,0.00
2548,0.00,810.67,-810.67,0.00
2549,374.99,1088.44,-713.45,34.45
2550,637.48,1388.85,-751.38,45.90
2551,998.74,1711.91,-713.17,58.34
2552,1442.08,2027.42,-585.34,71.13
2553,1918.99,2050.07,-131.07,93.61
2554,2353.45,2050.07,303.38,114.80
2555,2660.01,1764.75,895.26,150.73
2556,2770.83,1727.01,1043.82,160.44
2557,2660.01,1711.91,948.10,155.38
2558,2353.45,1727.01,626.44,136.27
2559,1918.99,1742.11,176.89,110.15
2560,1442.08,2027.42,-585.34,71.13
2561,998.74,2312.74,-1314.00,43.18
2562,0.00,2290.10,-2290.10,0.00
2563,0.00,1989.68,-1989.68,0.00
2564,0.00,1689.27,-1689.27,0.00
2565,0.00,1388.85,-1388.85,0.00
2566,0.00,1111.08,-1111.08,0.00
2567,0.00,833.31,-833.31,0.00
2568,0.00,825.76,-825.76,0.00
2569,0.00,818.22,-818.22,0.00
2570,0.00,810.67,-810.67,0.00
2571,0.00,810.67,-810.67,0.00
2572,0.00,810.67,-810.67,0.00
2573,375.27,1088.44,-713.17,34.48
2574,637.95,1388.85,-750.90,45.93
2575,999.49,1711.91,-712.42,58.38
2576,1443.16,2027.42,-584.26,71.18
2577,1920.43,2050.07,-129.64,93.68
2578,2355.21,2050.07,305.15,114.88
2579,2662.01,1764.75,897.26,150.84
2580,2772.91,1727.01,1045.90,160.56
2581,2662.01,1711.91,950.09,155.50
2582,2355.21,1727.01,628.20,136.38
2583,1920.43,1742.11,178.33,110.24
2584,1443.16,2027.42,-584.26,71.18
2585,999.49,2312.74,-1313.25,43.22
2586,0.00,2290.10,-2290.10,0.00
2587,0.00,1989.68,-1989.68,0.00
2588,0.00,1689.27,-1689.27,0.00
2589,0.00,1388.85,-1388.85,0.00
2590,0.00,1111.08,-1111.08,0.00
2591,0.00,833.31,-833.31,0.00
2592,0.00,825.76,-825.76,0.00
2593,0.00,818.22,-818.22,0.00
2594,0.00,810.67,-810.67,0.00
2595,0.00,810.67,-810.67,0.00
2596,0.00,810.67,-810.67,0.00
2597,375.55,1088.44,-712.89,34.50
2598,638.43,1388.85,-750.43,45.97
2599,1000.23,1711.91,-711.68,58.43
2600,1444.23,2027.42,-583.19,71.23
2601,1921.86,2050.07,-128.21,93.75
2602,2356.96,2050.07,306.89,114.97
2603,2663.98,1764.75,899.23,150.96
2604,2774.97,1727.01,1047.96,160.68
2605,2663.98,1711.91,952.07,155.61
2606,2356.96,1727.01,629.95,136.48
2607,1921.86,1742.11,179.75,110.32
2608,1444.23,2027.42,-583.19,71.23
2609,1000.23,2312.74,-1312.51,43.25
2610,0.00,2290.10,-2290.10,0.00
2611,0.00,1989.68,-1989.68,0.00
2612,0.00,1689.27,-1689.27,0.00
2613,0.00,1388.85,-1388.85,0.00
2614,0.00,1111.08,-1111.08,0.00
2615,0.00,833.31,-833.31,0.00
2616,0.00,825.76,-825.76,0.00
2617,0.00,818.22,-818.22,0.00
2618,0.00,810.67,-810.67,0.00
2619,0.00,810.67,-810.67,0.00
2620,0.00,810.67,-810.67,0.00
2621,375.83,1088.44,-712.61,34.53
2622,638.90,1388.85,-749.96,46.00
2623,1000.97,1711.91,-710.95,58.47
2624,1445.29,2027.42,-582.13,71.29
2625,1923.27,2050.07,-126.80,93.81
2626,2358.69,2050.07,308.62,115.05
2627,2665.94,1764.75,901.19,151.07
2628,2777.00,1727.01,1050.00,160.80
2629,2665.94,1711.91,954.03,155.73
2630,2358.69,1727.01,631.68,136.58
2631,1923.27,1742.11,181.16,110.40
2632,1445.29,2027.42,-582.13,71.29
2633,1000.97,2312.74,-1311.78,43.28
2634,0.00,2290.10,-2290.10,0.00
2635,0.00,1989.68,-1989.68,0.00
2636,0.00,1689.27,-1689.27,0.00
2637,0.00,1388.85,-1388.85,0.00
2638,0.00,1111.08,-1111.08,0.00
2639,0.00,833.31,-833.31,0.00
2640,0.00,825.76,-825.76,0.00
2641,0.00,818.22,-818.22,0.00
2642,0.00,810.67,-810.67,0.00
2643,0.00,810.67,-810.67,0.00
2644,0.00,810.67,-810.67,0.00
2645,376.10,1088.44,-712.34,34.55
2646,639.36,1388.85,-749.49,46.04
2647,1001.69,1711.91,-710.22,58.51
2648,1446.34,2027.42,-581.08,71.34
2649,1924.67,2050.07,-125.40,93.88
2650,2360.41,2050.07,310.34,115.14
2651,2667.88,1764.75,903.13,151.18
2652,2779.02,1727.01,1052.01,160.92
2653,2667.88,1711.91,955.96,155.84
2654,2360.41,1727.01,633.40,136.68
2655,1924.67,1742.11,182.56,110.48
2656,1446.34,2027.42,-581.08,71.34
2657,1001.69,2312.74,-1311.05,43.31
2658,0.00,2290.10,-2290.10,0.00
2659,0.00,1989.68,-1989.68,0.00
2660,0.00,1689.27,-1689.27,0.00
2661,0.00,1388.85,-1388.85,0.00
2662,0.00,1111.08,-1111.08,0.00
2663,0.00,833.31,-833.31,0.00
2664,0.00,825.76,-825.76,0.00
2665,0.00,818.22,-818.22,0.00
2666,0.00,810.67,-810.67,0.00
2667,0.00,810.67,-810.67,0.00
2668,0.00,810.67,-810.67,0.00
2669,376.37,1088.44,-712.07,34.58
2670,639.82,1388.85,-749.03,46.07
2671,1002.41,1711.91,-709.50,58.56
2672,1447.38,2027.42,-580.04,71.39
2673,1926.05,2050.07,-124.02,93.95
2674,2362.10,2050.07,312.04,115.22
2675,2669.80,1764.75,905.05,151.28
2676,2781.02,1727.01,1054.01,161.03
2677,2669.80,1711.91,957.88,155.95
2678,2362.10,1727.01,635.09,136.77
2679,1926.05,1742.11,183.94,110.56
2680,1447.38,2027.42,-580.04,71.39
2681,1002.41,2312.74,-1310.33,43.34
2682,0.00,2290.10,-2290.10,0.00
2683,0.00,1989.68,-1989.68,0.00
2684,0.00,1689.27,-1689.27,0.00
2685,0.00,1388.85,-1388.85,0.00
2686,0.00,1111.08,-1111.08,0.00
2687,0.00,833.31,-833.31,0.00
2688,0.00,825.76,-825.76,0.00
2689,0.00,818.22,-818.22,0.00
2690,0.00,810.67,-810.67,0.00
2691,0.00,810.67,-810.67,0.00
2692,0.00,810.67,-810.67,0.00
2693,376.64,1088.44,-711.80,34.60
2694,640.27,1388.85,-748.58,46.10
2695,1003.13,1711.91,-708.79,58.60
2696,1448.41,2027.42,-579.01,71.44
2697,1927.42,2050.07,-122.65,94.02
2698,2363.78,2050.07,313.71,115.30
2699,2671.69,1764.75,906.94,151.39
2700,2783.00,1727.01,1055.99,161.15
2701,2671.69,1711.91,959.78,156.06
2702,2363.78,1727.01,636.77,136.87
2703,1927.42,1742.11,185.31,110.64
2704,1448.41,2027.42,-579.01,71.44
2705,1003.13,2312.74,-1309.62,43.37
2706,0.00,2290.10,-2290.10,0.00
2707,0.00,1989.68,-1989.68,0.00
2708,0.00,1689.27,-1689.27,0.00
2709,0.00,1388.85,-1388.85,0.00
2710,0.00,1111.08,-1111.08,0.00
2711,0.00,833.31,-833.31,0.00
2712,0.00,825.76,-825.76,0.00
2713,0.00,818.22,-818.22,0.00
2714,0.00,810.67,-810.67,0.00
2715,0.00,810.67,-810.67,0.00
2716,0.00,810.67,-810.67,0.00
2717,376.90,1088.44,-711.54,34.63
2718,640.72,1388.85,-748.13,46.13
2719,1003.83,1711.91,-708.08,58.64
2720,1449.43,2027.42,-577.99,71.49
2721,1928.77,2050.07,-121.30,94.08
2722,2365.44,2050.07,315.38,115.38
2723,2673.57,1764.75,908.82,151.50
2724,2784.95,1727.01,1057.94,161.26
2725,2673.57,1711.91,961.66,156.17
2726,2365.44,1727.01,638.43,136.97
2727,1928.77,1742.11,186.67,110.72
2728,1449.43,2027.42,-577.99,71.49
2729,1003.83,2312.74,-1308.91,43.40
2730,0.00,2290.10,-2290.10,0.00
2731,0.00,1989.68,-1989.68,0.00
2732,0.00,1689.27,-1689.27,0.00
2733,0.00,1388.85,-1388.85,0.00
2734,0.00,1111.08,-1111.08,0.00
2735,0.00,833.31,-833.31,0.00
2736,0.00,825.76,-825.76,0.00
2737,0.00,818.22,-818.22,0.00
2738,0.00,810.67,-810.67,0.00
2739,0.00,810.67,-810.67,0.00
2740,0.00,810.67,-810.67,0.00
2741,377.16,1088.44,-711.27,34.65
2742,641.17,1388.85,-747.68,46.17
2743,1004.53,1711.91,-707.39,58.68
2744,1450.44,2027.42,-576.99,71.54
2745,1930.11,2050.07,-119.96,94.15
2746,2367.09,2050.07,317.02,115.46
2747,2675.43,1764.75,910.68,151.60
2748,2786.89,1727.01,1059.88,161.37
2749,2675.43,1711.91,963.51,156.28
2750,2367.09,1727.01,640.08,137.06
2751,1930.11,1742.11,188.01,110.79
2752,1450.44,2027.42,-576.99,71.54
2753,1004.53,2312.74,-1308.22,43.43
2754,0.00,2290.10,-2290.10,0.00
2755,0.00,1989.68,-1989.68,0.00
2756,0.00,1689.27,-1689.27,0.00
2757,0.00,1388.85,-1388.85,0.00
2758,0.00,1111.08,-1111.08,0.00
2759,0.00,833.31,-833.31,0.00
2760,0.00,825.76,-825.76,0.00
2761,0.00,818.22,-818.22,0.00
2762,0.00,810.67,-810.67,0.00
2763,0.00,810.67,-810.67,0.00
2764,0.00,810.67,-810.67,0.00
2765,377.42,1088.44,-711.02,34.68
2766,641.61,1388.85,-747.25,46.20
2767,1005.22,1711.91,-706.70,58.72
2768,1451.43,2027.42,-575.99,71.59
2769,1931.44,2050.07,-118.63,94.21
2770,2368.71,2050.07,318.64,115.54
2771,2677.26,1764.75,912.51,151.71
2772,2788.80,1727.01,1061.79,161.48
2773,2677.26,1711.91,965.35,156.39
2774,2368.71,1727.01,641.70,137.16
2775,1931.44,1742.11,189.33,110.87
2776,1451.43,2027.42,-575.99,71.59
2777,1005.22,2312.74,-1307.53,43.46
2778,0.00,2290.10,-2290.10,0.00
2779,0.00,1989.68,-1989.68,0.00
2780,0.00,1689.27,-1689.27,0.00
2781,0.00,1388.85,-1388.85,0.00
2782,0.00,1111.08,-1111.08,0.00
2783,0.00,833.31,-833.31,0.00
2784,0.00,825.76,-825.76,0.00
2785,0.00,818.22,-818.22,0.00
2786,0.00,810.67,-810.67,0.00
2787,0.00,810.67,-810.67,0.00
2788,0.00,810.67,-810.67,0.00
2789,377.68,1088.44,-710.76,34.70
2790,642.04,1388.85,-746.81,46.23
2791,1005.90,1711.91,-706.02,58.76
2792,1452.41,2027.42,-575.01,71.64
2793,1932.74,2050.07,-117.33,94.28
2794,2370.31,2050.07,320.24,115.62
2795,2679.07,1764.75,914.32,151.81
2796,2790.68,1727.01,1063.67,161.59
2797,2679.07,1711.91,967.16,156.50
2798,2370.31,1727.01,643.30,137.25
2799,1932.74,1742.11,190.64,110.94
2800,1452.41,2027.42,-575.01,71.64
2801,1005.90,2312.74,-1306.85,43.49
2802,0.00,2290.10,-2290.10,0.00
2803,0.00,1989.68,-1989.68,0.00
2804,0.00,1689.27,-1689.27,0.00
2805,0.00,1388.85,-1388.85,0.00
2806,0.00,1111.08,-1111.08,0.00
2807,0.00,833.31,-833.31,0.00
2808,0.00,825.76,-825.76,0.00
2809,0.00,818.22,-818.22,0.00
2810,0.00,810.67,-810.67,0.00
2811,0.00,810.67,-810.67,0.00
2812,0.00,810.67,-810.67,0.00
2813,377.93,1088.44,-710.51,34.72
2814,642.47,1388.85,-746.38,46.26
2815,1006.57,1711.91,-705.35,58.80
2816,1453.38,2027.42,-574.04,71.69
2817,1934.03,2050.07,-116.04,94.34
2818,2371.89,2050.07,321.83,115.70
2819,2680.86,1764.75,916.11,151.91
2820,2792.55,1727.01,1065.54,161.70
2821,2680.86,1711.91,968.95,156.60
2822,2371.89,1727.01,644.88,137.34
2823,1934.03,1742.11,191.93,111.02
2824,1453.38,2027.42,-574.04,71.69
2825,1006.57,2312.74,-1306.18,43.52
2826,0.00,2290.10,-2290.10,0.00
2827,0.00,1989.68,-1989.68,0.00
2828,0.00,1689.27,-1689.27,0.00
2829,0.00,1388.85,-1388.85,0.00
2830,0.00,1111.08,-1111.08,0.00
2831,0.00,833.31,-833.31,0.00
2832,0.00,825.76,-825.76,0.00
2833,0.00,818.22,-818.22,0.00
2834,0.00,810.67,-810.67,0.00
2835,0.00,810.67,-810.67,0.00
2836,0.00,810.67,-810.67,0.00
2837,378.18,1088.44,-710.26,34.75
2838,642.89,1388.85,-745.96,46.29
2839,1007.23,1711.91,-704.68,58.84
2840,1454.34,2027.42,-573.09,71.73
2841,1935.31,2050.07,-114.76,94.40
2842,2373.46,2050.07,323.39,115.77
2843,2682.63,1764.75,917.88,152.01
2844,2794.39,1727.01,1067.38,161.80
2845,2682.63,1711.91,970.71,156.70
2846,2373.46,1727.01,646.45,137.43
2847,1935.31,1742.11,193.20,111.09
2848,1454.34,2027.42,-573.09,71.73
2849,1007.23,2312.74,-1305.51,43.55
2850,0.00,2290.10,-2290.10,0.00
2851,0.00,1989.68,-1989.68,0.00
2852,0.00,1689.27,-1689.27,0.00
2853,0.00,1388.85,-1388.85,0.00
2854,0.00,1111.08,-1111.08,0.00
2855,0.00,833.31,-833.31,0.00
2856,0.00,825.76,-825.76,0.00
2857,0.00,818.22,-818.22,0.00
2858,0.00,810.67,-810.67,0.00
2859,0.00,810.67,-810.67,0.00
2860,0.00,810.67,-810.67,0.00
2861,378.42,1088.44,-710.01,34.77
2862,643.31,1388.85,-745.54,46.32
2863,1007.88,1711.91,-704.03,58.87
2864,1455.28,2027.42,-572.14,71.78
2865,1936.56,2050.07,-113.51,94.46
2866,2375.00,2050.07,324.93,115.85
2867,2684.37,1764.75,919.62,152.11
2868,2796.20,1727.01,1069.19,161.91
2869,2684.37,1711.91,972.45,156.81
2870,2375.00,1727.01,647.99,137.52
2871,1936.56,1742.11,194.46,111.16
2872,1455.28,2027.42,-572.14,71.78
2873,1007.88,2312.74,-1304.86,43.58
2874,0.00,2290.10,-2290.10,0.00
2875,0.00,1989.68,-1989.68,0.00
2876,0.00,1689.27,-1689.27,0.00
2877,0.00,1388.85,-1388.85,0.00
2878,0.00,1111.08,-1111.08,0.00
2879,0.00,833.31,-833.31,0.00
2880,0.00,825.76,-825.76,0.00
2881,0.00,818.22,-818.22,0.00
2882,0.00,810.67,-810.67,0.00
2883,0.00,810.67,-810.67,0.00
2884,0.00,810.67,-810.67,0.00
2885,378.67,1088.44,-709.77,34.79
2886,643.72,1388.85,-745.13,46.35
2887,1008.53,1711.91,-703.38,58.91
2888,1456.21,2027.42,-571.21,71.83
2889,1937.80,2050.07,-112.27,94.52
2890,2376.52,2050.07,326.45,115.92
2891,2686.08,1764.75,921.33,152.21
2892,2797.99,1727.01,1070.98,162.01
2893,2686.08,1711.91,974.17,156.91
2894,2376.52,1727.01,649.51,137.61
2895,1937.80,1742.11,195.70,111.23
2896,1456.21,2027.42,-571.21,71.83
2897,1008.53,2312.74,-1304.21,43.61
2898,0.00,2290.10,-2290.10,0.00
2899,0.00,1989.68,-1989.68,0.00
2900,0.00,1689.27,-1689.27,0.00
2901,0.00,1388.85,-1388.85,0.00
2902,0.00,1111.08,-1111.08,0.00
2903,0.00,833.31,-833.31,0.00
2904,0.00,825.76,-825.76,0.00
2905,0.00,818.22,-818.22,0.00
2906,0.00,810.67,-810.67,0.00
2907,0.00,810.67,-810.67,0.00
2908,0.00,810.67,-810.67,0.00
2909,378.90,1088.44,-709.53,34.81
2910,644.13,1388.85,-744.73,46.38
2911,1009.16,1711.91,-702.75,58.95
2912,1457.13,2027.42,-570.29,71.87
2913,1939.02,2050.07,-111.05,94.58
2914,2378.01,2050.07,327.94,116.00
2915,2687.78,1764.75,923.03,152.30
2916,2799.75,1727.01,1072.74,162.12
2917,2687.78,1711.91,975.86,157.00
2918,2378.01,1727.01,651.00,137.70
2919,1939.02,1742.11,196.92,111.30
2920,1457.13,2027.42,-570.29,71.87
2921,1009.16,2312.74,-1303.58,43.63
2922,0.00,2290.10,-2290.10,0.00
2923,0.00,1989.68,-1989.68,0.00
2924,0.00,1689.27,-1689.27,0.00
2925,0.00,1388.85,-1388.85,0.00
2926,0.00,1111.08,-1111.08,0.00
2927,0.00,833.31,-833.31,0.00
2928,0.00,825.76,-825.76,0.00
2929,0.00,818.22,-818.22,0.00
2930,0.00,810.67,-810.67,0.00
2931,0.00,810.67,-810.67,0.00
2932,0.00,810.67,-810.67,0.00
2933,379.14,1088.44,-709.30,34.83
2934,644.53,1388.85,-744.33,46.41
2935,1009.79,1711.91,-702.12,58.99
2936,1458.03,2027.42,-569.39,71.92
2937,1940.22,2050.07,-109.85,94.64
2938,2379.49,2050.07,329.42,116.07
2939,2689.44,1764.75,924.69,152.40
2940,2801.49,1727.01,1074.48,162.22
2941,2689.44,1711.91,977.53,157.10
2942,2379.49,1727.01,652.48,137.78
2943,1940.22,1742.11,198.12,111.37
2944,1458.03,2027.42,-569.39,71.92
2945,1009.79,2312.74,-1302.95,43.66
2946,0.00,2290.10,-2290.10,0.00
2947,0.00,1989.68,-1989.68,0.00
2948,0.00,1689.27,-1689.27,0.00
2949,0.00,1388.85,-1388.85,0.00
